,Cannabis proportion,Ecstasy prop,LSD prop,Cocaine prop,Amphetamines prop,Sum
Austria,6.4,0.4,0.3,0.4,0.4,7.900000000000001
Belgium,7.0,1.2,0.0,1.4,0.5,10.1
Bulgaria,4.2,1.3,0.2,0.3,0.7,6.7
Croatia,10.2,1.2,0.3,1.8,1.8,15.3
Cyprus,4.0,0.3,0.1,0.5,0.1,4.999999999999999
Czechia,9.4,1.5,0.4,0.5,0.5,12.3
Denmark,6.4,0.5,0.2,1.6,0.7,9.4
Estonia,6.6,1.0,0.7,1.0,0.9,10.2
Finland,8.2,1.4,0.8,0.9,1.7,13.0
France,11.0,0.6,0.3,1.6,0.3,13.8
Germany,7.1,1.1,0.3,1.1,1.2,10.799999999999999
Greece,2.8,0.2,0.0,0.4,0.14570356349403207,3.545703563494032
Hungary,1.3,0.6,0.1,0.3,0.4,2.6999999999999997
Ireland,7.7,2.1,0.3,1.5,0.3,11.900000000000002
Italy,10.2,0.4,0.1,1.2,0.1,11.999999999999998
Latvia,4.2,0.3,0.20213094262074144,0.5,0.3,5.502130942620742
Lithuania,2.7,0.4,0.1,0.1,0.3,3.6
Luxembourg,5.4,0.3,0.1,0.5,0.1,6.3999999999999995
Malta,0.9,0.17046256975064789,0.12976854282774067,0.023777665929507058,0.11978144736596938,1.343790225873865
Netherlands,9.3,4.2,0.3,2.3,2.1,18.200000000000003
Norway,5.1,0.6,0.3,1.2,0.3,7.499999999999999
Poland,3.8,0.3,0.5,0.3,0.8,5.699999999999999
Portugal,5.1,0.1,0.0,0.2,0.0,5.3999999999999995
Romania,3.5,0.5,0.3,0.5,0.1,4.8999999999999995
Slovakia,3.8,0.5,0.2,0.1,0.1,4.699999999999999
Slovenia,5.9,0.5,0.3,0.8,0.4,7.9
Spain,10.5,0.9,0.34241925329719436,2.5,0.7,14.942419253297194
Sweden,3.9,0.9,0.2106771082332342,1.2,0.7,6.9106771082332346
Turkey,1.1,0.1,0.0,0.1,0.05812422141201616,1.3581242214120164
United Kingdom,7.1,1.4,0.3,2.7,0.5,12.0
