;;;;;;;;;;;;;;;;;;;
Seizures of drugs  >  Number of seizures  >  Total;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Country;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;
Austria;26075;25275;25905;22249;18616;15264;;;;;;;;;;;;;
Belgium;;;;45443;;45934;;;;;;;;;;;;;
Bulgaria;550;629;425;321;;3900;;;;;;;;;;;;;
Croatia;10843;11268;11123;11105;8921;9166;;;;;;;;;;;;;
Cyprus;1244;1363;1093;1070;1100;1231;;;;;;;;;;;;;
Czechia;9057;9811;8765;7457;5671;5019;;;;;;;;;;;;;
Denmark;42175;35777;27615;33694;;18718;;;;;;;;;;;;;
Estonia;1913;2347;2428;1793;;1455;;;;;;;;;;;;;
Finland;8439;8047;8655;6112;;;;;;;;;;;;;;;
France;;;;128344;167308;;;;;;;;;;;;;;
Germany;;;;;66591;62195;;;;;;;;;;;;;
Greece;13595;13537;14832;13321;13321;13038;;;;;;;;;;;;;
Hungary;8713;9887;7625;8622;7746;8592;;;;;;;;;;;;;
Ireland;11578;3630;4926;;3498;5421;;;;;;;;;;;;;
Italy;33259;33053;33110;31040;24680;23157;;;;;;;;;;;;;
Latvia;3557;2963;2567;3160;3301;2547;;;;;;;;;;;;;
Lithuania;2282;2217;2027;1435;1245;761;;;;;;;;;;;;;
Luxembourg;1856;1467;1770;1405;1583;1433;;;;;;;;;;;;;
Malta;443;604;731;773;502;464;;;;;;;;;;;;;
Netherlands;;;;;;;;;;;;;;;;;;;
Norway;23413;46824;31120;31120;31120;31120;;;;;;;;;;;;;
Poland;;225;165;60600;;29197;;;;;;;;;;;;;
Portugal;2547;2456;4378;6308;5722;5046;;;;;;;;;;;;;
Romania;6798;5878;4888;4012;3685;3328;;;;;;;;;;;;;
Slovakia;2275;2025;2096;2353;2324;1974;;;;;;;;;;;;;
Slovenia;5485;;5614;;4602;5226;;;;;;;;;;;;;
Spain;411284;385075;377544;395953;384597;413140;;;;;;;;;;;;;
Sweden;50213;48446;42761;36879;37157;36790;;;;;;;;;;;;;
Turkey;148821;144819;118456;81222;73017;77664;;;;;;;;;;;;;
United Kingdom;;;169159;175852;183912;197581;;;;;;;;;;;;;
