,Cannabis proportion,Ecstasy prop,LSD prop,Cocaine prop,Amphetamines prop,Sum,2019 Deaths,Opioid substitution clients,All treatment demand  clients (TDI) - N. clients,ST24 substitution clients,population
Austria,6.4,0.4,0.3,0.4,0.4,7.900000000000001,196.0,19587,5056,25730,8858800
Belgium,7.0,1.2,0.0,1.4,0.5,10.1,132.76568071416685,16030,12471,28502,11467900
Bulgaria,4.2,1.3,0.2,0.3,0.7,6.7,11.0,3072,1550,6249,7000000
Croatia,10.2,1.2,0.3,1.8,1.8,15.3,97.0,5202,6910,6658,4076200
Cyprus,4.0,0.3,0.1,0.5,0.1,4.999999999999999,5.0,277,982,1404,87590
Czechia,9.4,1.5,0.4,0.5,0.5,12.3,42.0,5000,4386,46228,10649800
Denmark,6.4,0.5,0.2,1.6,0.7,9.4,214.11798309419493,6600,7277,16500,5806100
Estonia,6.6,1.0,0.7,1.0,0.9,10.2,27.0,1054,290,1646,1324800
Finland,8.2,1.4,0.8,0.9,1.7,13.0,234.0,3329,521,19600,5517900
France,11.0,0.6,0.3,1.6,0.3,13.8,476.8785241022748,177100,53886,253000,67028000
Germany,7.1,1.1,0.3,1.1,1.2,10.8,1398.0,79700,42603,683300,83019200
Greece,2.8,0.2,0.0,0.4,0.145703563494032,3.545703563494032,72.0,9708,3950,12545,10722300
Hungary,1.3,0.6,0.1,0.3,0.4,2.7,43.0,629,4579,4579,9772800
Ireland,7.7,2.1,0.3,1.5,0.3,11.900000000000002,312.0822916317868,10318,10267,10267,4904200
Italy,10.2,0.4,0.1,1.2,0.1,11.999999999999998,373.0,75711,38268,142678,60359500
Latvia,4.2,0.3,0.2021309426207414,0.5,0.3,5.502130942620742,12.0,710,811,2639,1920000
Lithuania,2.7,0.4,0.1,0.1,0.3,3.6,52.0,1033,806,806,2794200
Luxembourg,5.4,0.3,0.1,0.5,0.1,6.4,8.0,1099,381,2736,613900
Malta,0.9,0.1704625697506478,0.1297685428277406,0.023777665929507,0.1197814473659693,1.343790225873865,0.0,777,1943,1943,493600
Netherlands,9.3,4.2,0.3,2.3,2.1,18.200000000000003,252.0,5241,10987,31115,17282200
Norway,5.1,0.6,0.3,1.2,0.3,7.499999999999999,312.52643025786153,7900,6068,18452,5378858
Poland,3.8,0.3,0.5,0.3,0.8,5.699999999999999,196.9149625115096,3021,6483,11341,37972800
Portugal,5.1,0.1,0.0,0.2,0.0,5.4,85.0536349313203,16867,3471,25339,10276600
Romania,3.5,0.5,0.3,0.5,0.1,4.9,45.0,1772,4266,4266,19401700
Slovakia,3.8,0.5,0.2,0.1,0.1,4.699999999999999,34.0,661,3295,3295,5450400
Slovenia,5.9,0.5,0.3,0.8,0.4,7.9,74.0,3301,186,25559,2080900
Spain,10.5,0.9,0.3424192532971943,2.5,0.7,14.942419253297194,245.2751285312606,58447,47972,203059,46934600
Sweden,3.9,0.9,0.2106771082332342,1.2,0.7,6.9106771082332346,540.0,4014,43672,39433,10230200
Turkey,1.1,0.1,0.0,0.1,0.0581242214120161,1.3581242214120164,342.0,7164,12495,282501,82003900
United Kingdom,7.1,1.4,0.3,2.7,0.5,12.0,3453.3188530112284,148287,116546,233776,66647100
